Object,positionX,positionY,velocityX,velocityY
Airplane4,1150.916992,-809.264465,7.000000,-28.586601
Airplane0,1701.774048,-1081.107422,14.000000,-28.733601
Airplane1,2266.221680,-858.522034,18.000000,-28.772800
Airplane2,995.489807,-634.042969,5.000000,-28.812000
Airplane3,613.578857,-1079.602295,1.000000,-28.861000
Airplane4,1171.567017,-851.906738,7.000000,-28.910000
Airplane0,1743.298096,-1124.213501,14.000000,-29.066801
Airplane1,2319.699707,-901.773560,18.000000,-29.115801
Airplane2,1010.364807,-677.411011,5.000000,-29.155001
Airplane3,616.557861,-1123.087036,1.000000,-29.194201
Airplane4,1192.455078,-895.537598,7.000000,-29.243200
Airplane0,1785.284058,-1168.284058,14.000000,-29.390200
Airplane1,2373.753662,-945.961792,18.000000,-29.429401
Airplane2,1025.404785,-721.746521,5.000000,-29.478401
Airplane3,619.569885,-1167.540527,1.000000,-29.517601
Airplane4,1213.574097,-940.138794,7.000000,-29.566601
Airplane0,1827.732056,-1213.329834,14.000000,-29.713600
Airplane1,2428.419678,-991.156311,18.000000,-29.762600
Airplane2,1040.609741,-767.060181,5.000000,-29.801800
Airplane3,622.614868,-1212.973389,1.000000,-29.841002
Airplane4,1234.931152,-985.750916,7.000000,-29.899801
Airplane0,1870.642090,-1259.361572,14.000000,-30.037001
Airplane1,2483.679688,-1037.338379,18.000000,-30.086000
Airplane2,1055.979736,-813.362610,5.000000,-30.125200
Airplane3,625.693848,-1259.426514,1.000000,-30.174200
Airplane4,1256.519165,-1032.355103,7.000000,-30.223200
Airplane0,1914.028076,-1306.420166,14.000000,-30.370201
Airplane1,2539.533691,-1084.518555,18.000000,-30.409401
Airplane2,1071.519775,-860.694946,5.000000,-30.458401
Airplane3,628.805847,-1306.880737,1.000000,-30.497601
Airplane4,1278.338135,-1079.962036,7.000000,-30.546600
Airplane0,1957.890137,-1354.517090,14.000000,-30.703400
Airplane1,2595.999756,-1132.738281,18.000000,-30.742601
Airplane2,1087.224731,-909.037781,5.000000,-30.781801
Airplane3,631.950867,-1355.346802,1.000000,-30.821001
Airplane4,1300.395142,-1128.613159,7.000000,-30.879801
Airplane0,2002.200195,-1403.601440,14.000000,-31.017000
Airplane1,2653.059814,-1181.977905,18.000000,-31.066000
Airplane2,1103.094727,-958.401733,5.000000,-31.105200
Airplane3,635.128845,-1404.835205,1.000000,-31.144402
Airplane4,1322.683105,-1178.288696,7.000000,-31.203201
Airplane0,2046.986206,-1453.746094,14.000000,-31.350201
Airplane1,2710.713867,-1232.248047,18.000000,-31.389400
Airplane2,1119.129761,-1008.797485,5.000000,-31.428600
Airplane3,638.340820,-1455.388184,1.000000,-31.477600
Airplane4,1345.202148,-1228.999268,7.000000,-31.526600
Airplane0,2092.234131,-1504.930664,14.000000,-31.673601
Airplane1,2768.961914,-1283.559326,18.000000,-31.712801
Airplane2,1135.334717,-1060.267456,5.000000,-31.761801
Airplane3,641.585815,-1506.985352,1.000000,-31.801001
Airplane4,1367.966187,-1280.819214,7.000000,-31.869600
Airplane0,2137.944092,-1557.165771,14.000000,-31.997000
Airplane1,2827.822021,-1335.954590,18.000000,-32.046001
Airplane2,1151.704712,-1112.790894,5.000000,-32.085201
Airplane3,644.863831,-1559.637207,1.000000,-32.124401
Airplane4,1390.947144,-1333.631836,7.000000,-32.173401
Airplane0,2184.116211,-1610.462158,14.000000,-32.320400
Airplane1,2887.276123,-1389.412598,18.000000,-32.369400
Airplane2,1168.239746,-1166.378540,5.000000,-32.408600
Airplane3,648.174805,-1613.354492,1.000000,-32.447800
Airplane4,1414.159180,-1387.511475,7.000000,-32.496799
Airplane0,2230.764160,-1664.863037,14.000000,-32.653599
Airplane1,2947.324219,-1443.944214,18.000000,-32.692802
Airplane2,1184.939697,-1221.041016,5.000000,-32.732002
Airplane3,651.519775,-1668.180664,1.000000,-32.781002
Airplane4,1437.609131,-1442.501709,7.000000,-32.830002
Airplane0,2277.874268,-1720.346802,14.000000,-32.977001
Airplane1,3008.002197,-1499.626099,18.000000,-33.035801
